inggeris	ke	pembayang
ad	1	informal noun
ah	1	interjection
am	1	verb
an	1	adjective
as	1	conjunction
at	1	preposition
aw	1	interjection
be	1	verb
by	1	preposition
cc	1	‘carbon copy’
do	1	verb
eh	1	interjection
ex	1	informal noun
ew	1	interjection
fu	1	noun
go	1	verb
he	1	pronoun
hi	1	informal interjection
if	1	conjunction
in	1	preposition
is	1	verb
it	1	pronoun
ma	1	informal noun
me	1	pronoun
mo	1	informal noun
no	1	interjection
of	1	preposition
oh	1	interjection
on	1	preposition
or	1	conjunction
ox	1	noun
pa	1	noun
pa	2	informal noun
pc	1	‘per cent’
pc	2	‘piece’
pi	1	noun
pp	1	‘for and on behalf of’
pt	1	‘part’
pt	2	‘point’
re	1	‘with reference to’
so	1	adverb
ta	1	informal interjection
to	1	preposition
up	1	direction
us	1	pronoun
vs	1	‘versus’
we	1	pronoun
ya	1	nonstandard pronoun ‘you’
ya	2	informal interjection to human ‘yes’
ya	3	informal interjection to animal ‘go’
ye	1	obsolete pronoun
