melayu	ke	pembayang
ah	1	kata seru
ai	1	kata seru
am	1	kata nama
bi	1	‘bibi’
bu	1	‘ibu’
cu	1	‘cucu’
di	1	kata sendi
eh	1	kata seru
fi	1	‘fai’ bagi abjad dan simbol
fi	2	‘fee’ bagi ‘bayaran’
gi	1	‘ghee’ bagi ‘minyak sapi’
ha	1	kata seru
ia	1	‘dia’
ia	2	‘ya’ seperti ‘seia’ dan ‘beria-ia’
ke	1	kata sendi
ki	1	kata nama seperti ‘si’
ku	1	‘aku’
mi	1	‘mee’ seperti ‘bihun’
mu	1	‘kamu’
ni	1	‘ini’
oh	1	kata seru
oi	1	kata seru
ok	1	‘buluh’ atau ‘oak’ bagi pokok
pi	1	‘pai’ bagi abjad dan simbol
qi	1	‘ci’ bagi ‘aliran tenaga’
sa	1	‘satu’
si	1	kata nama ‘si polan’ atau ‘si anu’
tu	1	‘itu’
wa	1	kata nama ‘pak wa’ dan ‘mak wa’
we	1	‘weh’ seperti ‘eh’ atau ‘kan’
ya	1	kata seru atau iringan bagi setuju atau benar
ya	2	kata seru seperti ‘hai’ dan ‘wahai’
ya	3	kata penguat seperti ‘kan’ atau ‘tah’
yu	1	kata nama
